# INITIAL SELECTION OF ULTRA-LUMINOUS INFRARED GALAXIES
# -----------------------------------------------------
# UPDATE - March 20, 2021
# Found duplicate for IRAS 07598+6508
# Removed the duplicate, 188 ULIRGs in total
# -----------------------------------------------------
# UPDATE - October 19, 2018
# Removed the object VII Zw 852 because it had a value log10(L_IR/L_sun) = 11.97 < 12.
# -----------------------------------------------------
# Made by Pablo Correa on April 16, 2018 for an IceCube analysis
# Spacing = tab (\t)
# Alignment and name spacing made by hand by Pablo Correa on April 17, 2018, but not required if updated later
#
# Legend
# ------
# Name			 = object name in the NASA/IPAC Extragalactic Database (NED)
# RA			 = right ascension (J2000) in NED [in degrees]
# DEC			 = declination (J2000) in NED [in degrees]
# z			 = redshift in NED
# f_60			 = IRAS flux at 60 micron in NED [in Jansky]
# unc_f_60		 = uncertainty on the IRAS flux at 60 micron in NED [in Jansky]
# L_IR			 = the total infrared luminosity between 8 and 1000 micron [in solar luminosities]
# Catalog		 = the original catalog(s) where the object was identified
# RBGS			 = ULIRG in the revised IRAS Revised Bright Galaxy Sample, reference code: 2003AJ....126.1607S
# FSC			 = ULIRG in the IRAS 1 Jy Faint Source Catalog, reference code: 1998ApJS..119...41K
# PSCz + Spitzer	 	 = ULIRG in the IRAS Point Source Catalog Redshift Survey observed by Spitzer, reference code: 2010MNRAS.405.2505N

Row	Name				RA [deg]		DEC [deg]	z		f_60 [Jy]	unc_f_60 [Jy]	log10(L_IR/L_sun)	Catalog
86	2MASX J11531422+1314276		178.30929	13.24108		0.127290		2.583		0.155		12.28			FSC & PSCz + Spitzer	
87	IRAS 11524+1058			178.76189	10.69552		0.178670		0.821		0.066		12.23			PSCz + Spitzer	
88	2MASX J11575822+4540240		179.49246	45.67342		0.146648		0.799		0.056		12.09			PSCz + Spitzer	
89	SDSS J120046.83+300414.1		180.19515	30.07061		0.223000		1.13		0.169		12.56			FSC & PSCz + Spitzer	
90	2MASX J12022678-0129155		180.61149	-1.48758		0.150694		2.406		0.265		12.43			FSC	
91	SDSS J120424.53+192509.7		181.10226	19.41939		0.168646		1.761		0.123		12.44			FSC & PSCz + Spitzer	
92	2MASX J12054771+1651085		181.44877	16.85223		0.217787		1.358		0.095		12.57			FSC & PSCz + Spitzer	
93	IRAS 12071-0444			182.43805	-5.02049		0.128355		2.463		0.148		12.35			FSC & PSCz + Spitzer	
94	IRAS 12112+0305			183.44167	2.81056		0.073317		8.18		0.032		12.28			RBGS & FSC & PSCz + Spitzer	
95	IRAS 12127-1412			183.82875	-14.49583	0.133000		1.538		0.092		12.10			FSC & PSCz + Spitzer	
96	3C 273				187.27792	2.05239		0.158339		2.06		0.144		12.73			FSC	
97	2MASSi J1238316-074225		189.63180	-7.70699		0.138000		1.325		0.093		12.11			FSC & PSCz + Spitzer	
98	FBQS J124707.7+370536		191.78229	37.09352		0.158000		1.043		0.146		12.06			FSC	
99	SDSS J125400.80+101112.3		193.50335	10.18678		0.319000		0.712		0.057		12.73			PSCz + Spitzer	
100	MRK 0231				194.05931	56.87368		0.042170		30.8		0.042		12.51			RBGS & FSC & PSCz + Spitzer	
101	IRAS 13106-0922			198.31113	-9.63578		0.174520		1.661		0.199		12.32			FSC	
102	WKK 2031				198.77649	-55.15645	0.030761		41.11		0.066		12.26			RBGS & PSCz + Spitzer	
103	[HB89] 1321+058			201.08286	5.61797		0.205102		1.174		0.082		12.63			FSC & PSCz + Spitzer	
104	2MASX J13331651-1755106		203.31892	-17.91964	0.148356		1.164		0.093		12.21			FSC	
105	IRAS 13335-2612			204.09289	-26.45935	0.125000		1.402		0.112		12.06			FSC & PSCz + Spitzer	
106	2MASX J13362406+3917305		204.10027	39.29197		0.179310		1.114		0.134		12.37			FSC & PSCz + Spitzer	
107	IRAS 13352+6402			204.21125	63.78417		0.236600		0.987		0.049		12.54			PSCz + Spitzer	
108	MRK 0273				206.17546	55.88685		0.037780		22.51		0.042		12.14			RBGS & FSC & PSCz + Spitzer	
109	2MASX J13465107+0747184		206.71287	7.78861		0.135343		1.299		0.143		12.15			FSC	
110	4C +12.50			206.88901	12.29007		0.121740		1.916		0.211		12.28			FSC & PSCz + Spitzer	
111	IRAS 13454-2956			207.08130	-30.19872	0.129000		2.158		0.108		12.21			FSC & PSCz + Spitzer	
112	2MASX J13484011+5818522		207.16761	58.31442		0.157776		1.267		0.063		12.15			FSC & PSCz + Spitzer	
113	SDSS J135331.57+042805.2		208.38158	4.46814		0.136000		1.559		0.094		12.27			FSC & PSCz + Spitzer	
114	2MASX J13561001+2905355		209.04165	29.09312		0.108451		1.832		0.128		12.00			FSC & PSCz + Spitzer	
115	[HB89] 1402+436			211.16166	43.45207		0.323300		0.622		0.056		12.96			PSCz + Spitzer	
116	IRAS 14054-1958			212.04805	-20.20809	0.161000		1.02		0.061		12.12			FSC	
117	2MASXJ 14081899+2904474		212.07918	29.07975		0.116777		1.611		0.161		12.03			FSC & PSCz + Spitzer	
118	SDSS J140931.25+051131.2		212.38024	5.19203		0.264380		1.447		0.087		12.76			FSC & PSCz + Spitzer	
119	2MASX J14144550-0140550		213.68969	-1.68190		0.150200		1.394		0.112		12.23			FSC	
120	SDSS J142211.65+075927.9		215.54855	7.99109		0.131000		1.103		0.088		12.00			FSC & PSCz + Spitzer	
121	2MASX J14223136+2602049		215.63079	26.03486		0.158763		1.492		0.104		12.39			FSC	
