,Name,RA,Dec,Redshift,D_L [Mpc],log(LIR),LIR_unc x 1e11,AGNbol,AGNbol_unc,SFR [M$_{\odot}$],un-corr SFR [M$_{\odot}$],Supernova rate [yr$^{-1}$] ,un-corr Supernova rate [yr$^{-1}$] ,Flux(TeV) [GeV cm$^{-2}$ s$^{-1}$],Flux(TeV) no AGN [GeV cm$^{-2}$ s$^{-1}$],SigmaIR (x 10$^{10}$ ),R_70 (kpc)
184,IRAS18090+0130b,18h11m33.39s,+01d31m41.4s,0.02889,134.0,11.06,0.021,0.09,0.02,19.87,21.84,0.23893196265218616,0.2625625963210837,1.4537159006059187e-12,1.5974900006658445e-12,4.353,0.6479115653276993
185,IRAS18090+0130a,18h11m38.42s,+01d31m39.6s,0.02889,134.0,11.53,0.131,0.08,0.04,59.23,64.38,0.7128869842930409,0.7748771568402618,4.3373650511145335e-12,4.7145272294723185e-12,4.24,1.1277871385551759
186,NGC6621,18h12m55.35s,+68d21m47.1s,0.02065,94.3,11.31,0.124,0.1,0.06,34.95,38.84,0.42021869299573,0.4669096588841445,5.162580885715123e-12,5.736200984127914e-12,4.246,0.874822754933434
188,IC4687a,18h13m39.51s,-57d43m30.7s,0.01735,81.9,11.36,0.011,0.08,0.06,39.48,42.92,0.4819707534590561,0.5238812537598435,7.849965877964809e-12,8.532571606483487e-12,2.288,1.2623566021645742
190,CGCG142-034b,18h16m33.81s,+22d06m38.9s,0.01868,88.1,10.28,0.04,0.18,0.05,2.94,3.59,0.03573112667345719,0.04357454472372828,5.029325922189999e-13,6.133324295353656e-13,0.886,0.5850502979778537
191,CGCG142-034a,18h16m40.59s,+22d06m44.8s,0.01868,88.1,11.04,0.046,0.09,0.03,18.63,20.48,0.22817825289638768,0.2507453328531733,3.2117173708499594e-12,3.5293597481867685e-12,0.726,1.5503928450391709
192,IRASF18293-3413,18h32m41.08s,-34d11m27.3s,0.01818,86.0,11.94,0.098,0.05,0.03,156.68,164.93,1.8921539273008299,1.9917409761061367,2.7949526059411377e-11,2.9420553746748817e-11,18.528,0.8649595434727733
193,NGC6670Ab,18h33m34.01s,+59d53m18.2s,0.0286,129.5,11.39,0.065,0.05,0.01,44.54,46.89,0.5332814332029674,0.5613488770557553,3.474015994298317e-12,3.656858941366651e-12,,
194,NGC6670Aa,18h33m37.72s,+59d53m23.4s,0.0286,129.5,11.34,0.065,0.05,0.01,38.92,40.97,0.4752875776314523,0.5003027132962656,3.0962200140100064e-12,3.2591789621157965e-12,,
195,IC4734,18h38m25.78s,-57d29m25.8s,0.01561,73.4,11.42,0.042,0.07,0.02,46.64,50.15,0.559391427626984,0.6014961587386926,1.134327794788598e-11,1.2197073062242988e-11,38.341,0.33042914597107004
196,NGC6701,18h43m12.56s,+60d39m10.1s,0.01323,62.4,11.05,0.03,0.08,0.04,19.66,21.36,0.23605906659929765,0.2565859419557583,6.62317748331391e-12,7.199105960123814e-12,7.377,0.4920057451942703
197,NGC6786b,19h10m53.79s,+73d24m36.7s,0.02511,113.0,11.2,0.072,0.07,0.04,27.84,29.94,0.33706666708445904,0.3624372764349022,2.883857566000778e-12,3.100922113979332e-12,1.346,1.368949841681833
198,NGC6786a,19h11m04.33s,+73d25m33.1s,0.02511,113.0,10.97,0.118,0.16,0.06,14.77,17.59,0.17927186818216417,0.2134188906930526,1.5338049825576042e-12,1.8259583125685763e-12,2.157,0.8298220931194089
199,ESO593-IG008,19h14m31.12s,-21d19m06.2s,0.04873,222.0,11.92,0.288,0.05,0.01,150.53,158.45,1.8069929721836377,1.9020978654564609,4.00557992236827e-12,4.216399918282391e-12,2.31,2.3938893678371067
200,IRASF19297-0406,19h32m22.18s,-04d00m00.8s,0.08573,395.0,12.45,0.698,0.05,0.03,505.35,531.94,6.122890088090332,6.445147461147719,4.287233713220444e-12,4.5128775928636256e-12,70.381,0.7983298153503511
201,IRAS19542+1110,19h56m36.17s,+11d19m03.1s,0.06496,295.0,11.76,0.165,0.08,0.04,100.41,109.15,1.210655795998253,1.3159302130415793,1.5198178486531408e-12,1.6519759224490661e-12,41.63,0.4690367375345942
202,ESO339-G011,19h57m37.51s,-37d56m07.2s,0.0192,88.6,11.27,0.057,0.41,0.09,20.8,35.25,0.2512377352423625,0.4258266699023092,3.49649018131802e-12,5.926254544606812e-12,3.086,0.9799684750767713
203,NGC6907a,20h25m06.62s,-24d48m33.0s,0.01064,50.1,10.91,0.023,0.09,0.04,14.06,15.45,0.16915087571424334,0.1858800832024652,7.362302976305089e-12,8.090442831104492e-12,3.311,0.6250726192627686
204,MCG+04-48-002a,20h28m34.96s,+25d44m00.6s,0.0139,64.2,11.08,0.184,0.17,0.06,19.05,22.95,0.22819753591428155,0.2749367902581706,6.048612761098264e-12,7.287485254335257e-12,1.576,1.1018740602379566
205,NGC6926a,20h33m06.12s,-02d01m38.2s,0.01961,89.1,10.89,0.084,0.29,0.05,10.47,14.75,0.12603501195665548,0.1775141013474021,1.7344056746455679e-12,2.4428248938669965e-12,0.013,9.748513325405353
206,IRAS20351+2521,20h37m17.70s,+25d31m38.5s,0.0337,151.0,11.57,0.138,0.07,0.03,65.65,70.59,0.7901613936632378,0.8496359071647719,3.785966781641001e-12,4.070932023269894e-12,3.096,1.3820049221212185
207,CGCG448-020a,20h57m24.23s,+17d07m36.8s,0.0361,161.0,11.86,0.102,0.05,0.01,130.88,137.77,1.5738250860784673,1.656657985345755,6.6331466392291645e-12,6.982259620241227e-12,8.948,1.135133859047246
208,ESO286-IG019,20h58m26.81s,-42d38m60.0s,0.043,193.0,12.1,0.158,0.24,0.05,178.72,235.16,2.1879956311149757,2.878941619888126,6.417216912521908e-12,8.443706463844617e-12,83.538,0.4897427652308486
209,ESO286-G035,21h04m11.09s,-43d35m34.9s,0.01736,79.1,11.13,0.051,0.06,0.04,23.99,25.52,0.28997510329004317,0.3084841524362162,5.063171426179795e-12,5.3863525810423345e-12,1.917,1.0582761516768193
210,IRAS21101+5810,21h11m29.62s,+58d23m09.0s,0.03904,174.0,11.69,0.105,0.03,0.01,90.63,93.43,1.086437112141261,1.1200382599394445,3.920315167567578e-12,4.041562028420185e-12,29.564,0.5134858365957027
211,ESO343-IG013b,21h36m10.42s,-38d32m41.8s,0.01906,85.8,10.64,0.011,0.04,0.01,7.92,8.25,0.09583057439200514,0.09982351499167204,1.4221467150821221e-12,1.4814028282105442e-12,0.123,2.376607756009903
